stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
DOMODOSSOLA,EC,Sun,2.907563025210084,-1.0,13,119,38,27,11,46.115429,8.296684
GALLARATE,EC,Sun,6.775,4.0,5,40,26,16,10,45.659828,8.798243
MODANE,EC,Sun,11.875,0.0,2,8,4,4,4,,
PARMA,EC,Sun,2.25,0.0,1,4,1,1,0,44.810203,10.32837
PESCHIERA DEL GARDA,EC,Sun,4.785714285714286,3.0,2,14,6,4,2,45.438502,10.702509
ROVERETO,EC,Sun,5.2,2.0,12,125,44,31,16,45.890985,11.033518
VICENZA,EC,Sun,5.482142857142857,1.0,6,56,12,12,5,45.541102,11.540762
BARDONECCHIA,EC,Sun,4.769230769230769,2.0,1,13,2,1,1,45.076447,6.709959
MILANO LAMBRATE,EC,Sun,-6.0,2.0,2,7,1,1,0,45.484933,9.237333
MILANO ROGOREDO,EC,Sun,1.7142857142857142,2.0,2,7,1,1,0,45.433866,9.2391
RHO FIERA MILANO,EC,Sun,8.333333333333334,3.0,3,6,3,3,3,,
STRESA,EC,Sun,6.243589743589744,5.0,8,78,50,37,17,45.884486,8.531454
TORTONA,EC,Sun,0.0,-1.0,1,3,0,0,0,44.900126,8.861777
TRENTO,EC,Sun,4.624,1.0,12,125,38,24,13,46.072414,11.118941
BOLOGNA C.LE,EC,Sun,4.310344827586207,2.0,3,29,12,8,4,44.50626,11.342267
BRENNERO,EC,Sun,1.1756756756756757,-3.0,7,74,12,12,6,47.004117,11.505711
GENOVA P.PRINCIPE,EC,Sun,1.6666666666666667,1.0,1,3,0,0,0,44.417784,8.9207
MILANO CENTRALE,EC,Sun,3.29375,0.0,19,160,45,32,24,45.486347,9.204528
MODENA,EC,Sun,-0.25,-1.0,1,4,1,0,0,44.654461,10.930373
PADOVA,EC,Sun,5.327586206896552,1.0,8,58,13,10,5,45.417846,11.880794
PAVIA,EC,Sun,1.3333333333333333,0.0,1,3,1,0,0,45.188843,9.144674
VERONA PORTA NUOVA,EC,Sun,3.8306451612903225,2.0,13,124,49,30,8,45.428603,10.982377
BRESCIA,EC,Sun,3.7857142857142856,2.0,2,14,6,4,2,45.532315,10.212828
BRESSANONE,EC,Sun,4.614864864864865,1.0,14,148,50,38,17,46.710088,11.649677
COMO S. GIOVANNI,EC,Sun,2.5405405405405403,1.0,12,74,16,11,5,45.808946,9.072331
PIACENZA,EC,Sun,-1.25,-3.0,1,4,1,0,0,45.052238,9.70633
REGGIO EMILIA,EC,Sun,2.75,1.0,1,4,1,1,0,44.697793,10.643093
TORINO PORTA SUSA,EC,Sun,8.391304347826088,3.0,2,23,11,7,4,45.075906,7.667673
VENEZIA MESTRE,EC,Sun,4.464285714285714,1.0,8,56,8,7,2,45.482123,12.232069
VENEZIA SANTA LUCIA,EC,Sun,-1.3666666666666667,-2.0,5,30,3,1,0,45.441569,12.320882
VIPITENO,EC,Sun,4.434782608695652,-1.0,2,23,6,5,3,46.895732,11.440206
