stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
BARDONECCHIA,EC,Tue,13.307692307692308,6.0,1,13,8,7,4,45.076447,6.709959
BRESSANONE,EC,Tue,5.56,3.0,12,150,67,44,24,46.710088,11.649677
DESENZANO,EC,Tue,4.0,4.0,1,1,1,0,0,45.462677,10.536322
FIRENZE CAMPO MARTE,EC,Tue,21.0,21.0,1,1,1,1,1,43.776856,11.27702
MODANE,EC,Tue,14.555555555555555,8.0,2,9,5,5,4,,
STRESA,EC,Tue,5.884615384615385,5.0,8,104,74,50,21,45.884486,8.531454
TORTONA,EC,Tue,3.25,1.0,1,4,2,1,0,44.900126,8.861777
TRENTO,EC,Tue,6.9296875,4.0,10,128,66,43,22,46.072414,11.118941
VENEZIA SANTA LUCIA,EC,Tue,4.233333333333333,2.0,3,30,8,6,4,45.441569,12.320882
VICENZA,EC,Tue,5.133333333333334,2.0,6,45,18,12,8,45.541102,11.540762
BRESCIA,EC,Tue,6.2105263157894735,4.0,4,19,10,6,3,45.532315,10.212828
DOMODOSSOLA,EC,Tue,2.1736526946107784,1.0,14,167,59,42,11,46.115429,8.296684
GALLARATE,EC,Tue,7.063492063492063,6.0,6,63,47,32,11,45.659828,8.798243
GENOVA P.PRINCIPE,EC,Tue,-0.6,1.0,2,5,2,2,0,44.417784,8.9207
LEVANTO,EC,Tue,-2.0,-2.0,1,1,0,0,0,44.174167,9.616018
PAVIA,EC,Tue,4.6,4.0,2,5,4,1,0,45.188843,9.144674
SESTRI LEVANTE,EC,Tue,-6.0,-6.0,1,1,0,0,0,44.27626,9.397651
TARVISIO BOSCOVERDE,EC,Tue,49.0,20.0,2,2,2,2,2,46.505956,13.608012
VENEZIA MESTRE,EC,Tue,3.9318181818181817,2.0,5,44,14,7,6,45.482123,12.232069
CHIASSO,EC,Tue,5.0,5.0,1,1,1,0,0,45.830736,9.03421
DOMEGLIARA,EC,Tue,142.0,142.0,1,1,1,1,1,45.522348,10.820408
MILANO CENTRALE,EC,Tue,2.8702702702702703,1.0,20,185,65,49,25,45.486347,9.204528
MILANO ROGOREDO,EC,Tue,5.777777777777778,6.0,3,9,7,5,1,45.433866,9.2391
MODENA,EC,Tue,3.5,2.0,1,4,2,1,0,44.654461,10.930373
PADOVA,EC,Tue,6.913043478260869,2.0,7,46,17,10,9,45.417846,11.880794
PESCHIERA DEL GARDA,EC,Tue,6.2631578947368425,4.0,4,19,10,7,3,45.438502,10.702509
PIACENZA,EC,Tue,9.0,8.0,1,4,3,3,2,45.052238,9.70633
ROVERETO,EC,Tue,7.6640625,4.0,10,128,77,53,22,45.890985,11.033518
VIPITENO,EC,Tue,-1.1818181818181819,-2.0,2,22,2,2,1,46.895732,11.440206
BOLOGNA C.LE,EC,Tue,8.318181818181818,5.0,5,44,25,17,12,44.50626,11.342267
BRENNERO,EC,Tue,3.2133333333333334,-1.0,6,75,24,19,10,47.004117,11.505711
COMO S. GIOVANNI,EC,Tue,2.841463414634146,2.0,12,82,26,13,3,45.808946,9.072331
MILANO LAMBRATE,EC,Tue,4.625,3.0,2,8,4,2,0,45.484933,9.237333
PARMA,EC,Tue,7.5,6.0,1,4,3,3,2,44.810203,10.32837
RECCO,EC,Tue,-5.0,-5.0,1,1,0,0,0,44.361215,9.146788
REGGIO EMILIA,EC,Tue,7.5,7.0,1,4,3,3,1,44.697793,10.643093
RHO FIERA MILANO,EC,Tue,3.8333333333333335,2.0,3,6,3,3,0,,
TORINO PORTA SUSA,EC,Tue,10.05,3.0,2,20,9,7,6,45.075906,7.667673
VERONA PORTA NUOVA,EC,Tue,7.148148148148148,4.0,13,135,78,52,27,45.428603,10.982377
